ATCOPIA92	8	LTR/Copia
ATCOPIA93	10	LTR/Copia
ATCOPIA94	39	LTR/Copia
ATCOPIA95	72	LTR/Copia
ATCOPIA96	16	LTR/Copia
ATCOPIA97	10	LTR/Copia
ATRE1	22	LTR/Copia
ENDOVIR1	15	LTR/Copia
META1	138	LTR/Copia
ROMANIAT5	49	LTR/Copia
TA1-2	4	LTR/Copia
ATGP1	144	LTR/Gypsy
ATGP10	165	LTR/Gypsy
ATGP2	48	LTR/Gypsy
ATGP2N	54	LTR/Gypsy
ATGP3	60	LTR/Gypsy
ATGP5	86	LTR/Gypsy
ATGP6	25	LTR/Gypsy
ATGP7	47	LTR/Gypsy
ATGP8	92	LTR/Gypsy
ATGP9B	27	LTR/Gypsy
ATGP9LTR	10	LTR/Gypsy
ATHILA	198	LTR/Gypsy
ATHILA0_I	138	LTR/Gypsy
ATHILA2	413	LTR/Gypsy
ATHILA3	243	LTR/Gypsy
ATHILA4	250	LTR/Gypsy
ATHILA4A	310	LTR/Gypsy
ATHILA4B_LTR	143	LTR/Gypsy
ATHILA4C	206	LTR/Gypsy
ATHILA4D_LTR	106	LTR/Gypsy
ATHILA5	131	LTR/Gypsy
ATHILA6A	247	LTR/Gypsy
ATHILA6B	134	LTR/Gypsy
ATHILA7	134	LTR/Gypsy
ATHILA7A	31	LTR/Gypsy
ATHILA8A	97	LTR/Gypsy
ATHILA8B	78	LTR/Gypsy
ATLANTYS1	153	LTR/Gypsy
ATLANTYS2	179	LTR/Gypsy
ATLANTYS3	142	LTR/Gypsy
TA1_AT	3	LTR/Gypsy
TAT1_ATH	87	LTR/Gypsy
ATREP1	498	RC/Helitron
ATREP10	63	RC/Helitron
ATREP10A	279	RC/Helitron
ATREP10B	491	RC/Helitron
ATREP10C	123	RC/Helitron
ATREP10D	1295	RC/Helitron
ATREP11	841	RC/Helitron
ATREP11A	95	RC/Helitron
ATREP12	22	RC/Helitron
ATREP13	106	RC/Helitron
ATREP14	47	RC/Helitron
ATREP15	1003	RC/Helitron
ATREP2	164	RC/Helitron
ATREP2A	116	RC/Helitron
ATREP3	1439	RC/Helitron
ATREP4	832	RC/Helitron
ATREP5	624	RC/Helitron
ATREP6	181	RC/Helitron
ATREP7	164	RC/Helitron
ATREP8	75	RC/Helitron
ATREP9	201	RC/Helitron
HELITRON1	130	RC/Helitron
HELITRON2	194	RC/Helitron
HELITRON3	53	RC/Helitron
HELITRON4	199	RC/Helitron
HELITRON5	56	RC/Helitron
HELITRONY1A	271	RC/Helitron
HELITRONY1B	414	RC/Helitron
HELITRONY1C	120	RC/Helitron
HELITRONY1D	756	RC/Helitron
HELITRONY1E	447	RC/Helitron
HELITRONY2	198	RC/Helitron
HELITRONY3	1399	RC/Helitron
HELITRONY3A	49	RC/Helitron
RathE1_cons	213	RathE1_cons
RathE2_cons	74	RathE2_cons
RathE3_cons	104	RathE3_cons
ATSINE2A	33	SINE
ATSINE4	98	SINE
Transposon_Family	1	Transposon_Super_Family
SADHU	16	Unassigned
Unassigned	113	Unassigned
